Date,Radius,Location,Query,TotalResults
7/19/2015,25,"Raleigh, NC",C# mvc,103
7/19/2015,50,"Raleigh, NC",C# mvc,115
7/19/2015,25,"Raleigh, NC",C# mvc angular,15
7/19/2015,50,"Raleigh, NC",C# mvc angular,20
7/19/2015,25,"Raleigh, NC",angular,162
7/19/2015,50,"Raleigh, NC",angular,174
7/19/2015,25,"Raleigh, NC",scala,31
7/19/2015,50,"Raleigh, NC",scala,32
7/19/2015,25,"Raleigh, NC",python,468
7/19/2015,50,"Raleigh, NC",python,489
7/19/2015,25,"Raleigh, NC",C++,344
7/19/2015,50,"Raleigh, NC",C++,367
7/19/2015,25,"Raleigh, NC",java,1050
7/19/2015,50,"Raleigh, NC",java,1130
7/19/2015,25,"Raleigh, NC",machine learning,83
7/19/2015,50,"Raleigh, NC",machine learning,112
7/19/2015,25,"St. Paul, MN",C#,584
7/19/2015,50,"St. Paul, MN",C#,595
7/19/2015,25,"St. Paul, MN",C# mvc,143
7/19/2015,50,"St. Paul, MN",C# mvc,145
7/19/2015,25,"St. Paul, MN",C# mvc angular,18
7/19/2015,50,"St. Paul, MN",C# mvc angular,18
7/19/2015,25,"St. Paul, MN",angular,144
7/19/2015,50,"St. Paul, MN",angular,146
7/19/2015,25,"St. Paul, MN",scala,23
7/19/2015,50,"St. Paul, MN",scala,23
7/19/2015,25,"St. Paul, MN",python,361
7/19/2015,50,"St. Paul, MN",python,364
7/19/2015,25,"St. Paul, MN",C++,355
7/19/2015,50,"St. Paul, MN",C++,364
7/19/2015,25,"St. Paul, MN",java,1195
7/19/2015,50,"St. Paul, MN",java,1200
7/19/2015,25,"St. Paul, MN",machine learning,124
7/19/2015,50,"St. Paul, MN",machine learning,136
7/19/2015,25,"Seattle, WA",C#,1735
7/19/2015,50,"Seattle, WA",C#,1794
7/19/2015,25,"Seattle, WA",C# mvc,247
7/19/2015,50,"Seattle, WA",C# mvc,265
7/19/2015,25,"Seattle, WA",C# mvc angular,43
7/19/2015,50,"Seattle, WA",C# mvc angular,49
7/19/2015,25,"Seattle, WA",angular,238
7/19/2015,50,"Seattle, WA",angular,245
7/19/2015,25,"Seattle, WA",scala,144
7/19/2015,50,"Seattle, WA",scala,146
7/19/2015,25,"Seattle, WA",python,1320
7/19/2015,50,"Seattle, WA",python,1332
7/19/2015,25,"Seattle, WA",C++,1596
7/19/2015,50,"Seattle, WA",C++,1610
7/19/2015,25,"Seattle, WA",java,2466
7/19/2015,50,"Seattle, WA",java,2521
7/19/2015,25,"Seattle, WA",machine learning,617
7/19/2015,50,"Seattle, WA",machine learning,646
7/19/2015,25,"Denver, CO",C#,579
7/19/2015,50,"Denver, CO",C#,613
7/19/2015,25,"Denver, CO",C# mvc,172
7/19/2015,50,"Denver, CO",C# mvc,186
7/19/2015,25,"Denver, CO",C# mvc angular,12
7/19/2015,50,"Denver, CO",C# mvc angular,14
7/19/2015,25,"Denver, CO",angular,181
7/19/2015,50,"Denver, CO",angular,191
7/19/2015,25,"Denver, CO",scala,61
7/19/2015,50,"Denver, CO",scala,62
7/19/2015,25,"Denver, CO",python,567
7/19/2015,50,"Denver, CO",python,608
7/19/2015,25,"Denver, CO",C++,467
7/19/2015,50,"Denver, CO",C++,517
7/19/2015,25,"Denver, CO",java,1238
